dataset,attendance_rate,attendance_band,risk_label,at_risk
A (primary),73.0,70-85%,At risk,1
A (primary),81.0,70-85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),70.0,50-70%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),80.0,70-85%,At risk,1
A (primary),96.0,Above 85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),72.0,70-85%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),91.0,Above 85%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),89.0,Above 85%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),75.0,70-85%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),72.0,70-85%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),100.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),86.0,Above 85%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),90.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),80.0,70-85%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),86.0,Above 85%,Not at risk,0
A (primary),79.0,70-85%,At risk,1
A (primary),99.0,Above 85%,Not at risk,0
A (primary),60.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),85.0,70-85%,At risk,1
A (primary),92.0,Above 85%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),98.0,Above 85%,At risk,1
A (primary),100.0,Above 85%,Not at risk,0
A (primary),86.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),70.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),100.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),70.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),75.0,70-85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),89.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),96.0,Above 85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),84.0,70-85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),89.0,Above 85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),79.0,70-85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),82.0,70-85%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),98.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),100.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),81.0,70-85%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),88.0,Above 85%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),99.0,Above 85%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),91.0,Above 85%,Not at risk,0
A (primary),99.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,Not at risk,0
A (primary),91.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),74.0,70-85%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),91.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,At risk,1
A (primary),89.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),75.0,70-85%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),79.0,70-85%,At risk,1
A (primary),75.0,70-85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),89.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),81.0,70-85%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),76.0,70-85%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),74.0,70-85%,At risk,1
A (primary),86.0,Above 85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),71.0,70-85%,At risk,1
A (primary),78.0,70-85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),77.0,70-85%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),100.0,Above 85%,Not at risk,0
A (primary),71.0,70-85%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,Not at risk,0
A (primary),91.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),83.0,70-85%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),70.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),95.0,Above 85%,At risk,1
A (primary),91.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),83.0,70-85%,At risk,1
A (primary),85.0,70-85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),89.0,Above 85%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),100.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),67.0,50-70%,At risk,1
A (primary),83.0,70-85%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,Not at risk,0
A (primary),95.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,Not at risk,0
A (primary),100.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),91.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),85.0,70-85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),87.0,Above 85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),81.0,70-85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),60.0,50-70%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),80.0,70-85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),92.0,Above 85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),94.0,Above 85%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),85.0,70-85%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),84.0,70-85%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),74.0,70-85%,At risk,1
A (primary),88.0,Above 85%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),99.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),88.0,Above 85%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),91.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),74.0,70-85%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),84.0,70-85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),89.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),86.0,Above 85%,At risk,1
A (primary),67.0,50-70%,At risk,1
A (primary),97.0,Above 85%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),72.0,70-85%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,At risk,1
A (primary),67.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),92.0,Above 85%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),88.0,Above 85%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
A (primary),99.0,Above 85%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),89.0,Above 85%,Not at risk,0
A (primary),98.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),99.0,Above 85%,Not at risk,0
A (primary),61.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),67.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),66.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),89.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,Not at risk,0
A (primary),77.0,70-85%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),86.0,Above 85%,Not at risk,0
A (primary),92.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),87.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),95.0,Above 85%,Not at risk,0
A (primary),72.0,70-85%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),73.0,70-85%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),90.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),91.0,Above 85%,Not at risk,0
A (primary),81.0,70-85%,At risk,1
A (primary),93.0,Above 85%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),83.0,70-85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),94.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,At risk,1
A (primary),63.0,50-70%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,Not at risk,0
A (primary),63.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),96.0,Above 85%,Not at risk,0
A (primary),86.0,Above 85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),96.0,Above 85%,At risk,1
A (primary),100.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),81.0,70-85%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),65.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),73.0,70-85%,At risk,1
A (primary),90.0,Above 85%,Not at risk,0
A (primary),70.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),96.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),69.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),64.0,50-70%,At risk,1
A (primary),91.0,Above 85%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),72.0,70-85%,At risk,1
A (primary),79.0,70-85%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),98.0,Above 85%,Not at risk,0
A (primary),87.0,Above 85%,Not at risk,0
A (primary),86.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,Not at risk,0
A (primary),62.0,50-70%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),61.0,50-70%,At risk,1
A (primary),89.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),68.0,50-70%,At risk,1
A (primary),62.0,50-70%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),92.0,Above 85%,Not at risk,0
A (primary),64.0,50-70%,At risk,1
A (primary),74.0,70-85%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),95.0,Above 85%,At risk,1
A (primary),71.0,70-85%,At risk,1
A (primary),97.0,Above 85%,Not at risk,0
A (primary),72.0,70-85%,At risk,1
A (primary),60.0,50-70%,At risk,1
A (primary),68.0,50-70%,At risk,1
A (primary),93.0,Above 85%,Not at risk,0
A (primary),88.0,Above 85%,Not at risk,0
A (primary),97.0,Above 85%,Not at risk,0
A (primary),67.0,50-70%,At risk,1
A (primary),70.0,50-70%,At risk,1
A (primary),76.0,70-85%,At risk,1
A (primary),82.0,70-85%,At risk,1
A (primary),85.0,70-85%,Not at risk,0
A (primary),86.0,Above 85%,Not at risk,0
A (primary),98.0,Above 85%,Not at risk,0
A (primary),65.0,50-70%,At risk,1
A (primary),81.0,70-85%,At risk,1
A (primary),66.0,50-70%,At risk,1
A (primary),67.0,50-70%,At risk,1
A (primary),98.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,At risk,1
A (primary),69.0,50-70%,At risk,1
A (primary),88.0,Above 85%,Not at risk,0
A (primary),93.0,Above 85%,At risk,1
A (primary),94.0,Above 85%,Not at risk,0
